,category,job_title,page_link,job_id,location,run_date
0,All Departments,California Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4274391002,4274391002,California ,2019-Nov-15
1,All Departments,Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4274408002,4274408002,Iowa,2019-Nov-15
2,All Departments,Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4263816002,4263816002,"Washington, DC",2019-Nov-15
3,All Departments,General Application,https://boards.greenhouse.io/bernie2020/jobs/4231325002,4231325002,Multiple Locations,2019-Nov-15
4,All Departments,HQ Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4274405002,4274405002,"Washington, DC",2019-Nov-15
5,All Departments,Iowa Student Intern,https://boards.greenhouse.io/bernie2020/jobs/4461162002,4461162002,Iowa,2019-Nov-15
6,All Departments,Nevada Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4274412002,4274412002,Nevada,2019-Nov-15
7,All Departments,Nevada Youth Field Fellowship Intern,https://boards.greenhouse.io/bernie2020/jobs/4334036002,4334036002,Nevada,2019-Nov-15
8,All Departments,New Hampshire Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4274418002,4274418002,New Hampshire,2019-Nov-15
9,All Departments,New Hampshire Intern,https://boards.greenhouse.io/bernie2020/jobs/4272302002,4272302002,New Hampshire,2019-Nov-15
10,All Departments,South Carolina Campaign Intern ,https://boards.greenhouse.io/bernie2020/jobs/4274430002,4274430002,South Carolina ,2019-Nov-15
11,All Departments,Vermont Campaign Intern,https://boards.greenhouse.io/bernie2020/jobs/4274440002,4274440002,Vermont,2019-Nov-15
12,Communications,Communications Intern,https://boards.greenhouse.io/bernie2020/jobs/4262445002,4262445002,"Washington, DC",2019-Nov-15
13,Communications,Graphic Design Associate,https://boards.greenhouse.io/bernie2020/jobs/4445765002,4445765002,"Washington, DC",2019-Nov-15
14,Communications,Northeast Regional Press Secretary,https://boards.greenhouse.io/bernie2020/jobs/4489875002,4489875002,Washington DC,2019-Nov-15
15,Data + Technology,Data Analyst,https://boards.greenhouse.io/bernie2020/jobs/4269064002,4269064002,"Washington, DC",2019-Nov-15
16,Data + Technology,Full Stack Engineer,https://boards.greenhouse.io/bernie2020/jobs/4244285002,4244285002,"Washington, DC or remote",2019-Nov-15
17,Data + Technology,Iowa Data Intern,https://boards.greenhouse.io/bernie2020/jobs/4374451002,4374451002,Iowa,2019-Nov-15
18,Data + Technology,IT Help Desk Specialist,https://boards.greenhouse.io/bernie2020/jobs/4517752002,4517752002,"Washington, DC or Remote",2019-Nov-15
19,Data + Technology,National Data Desk,https://boards.greenhouse.io/bernie2020/jobs/4489865002,4489865002,"Washington, DC",2019-Nov-15
20,Organizing,California Central Coast and Central Valley Area Field Director,https://boards.greenhouse.io/bernie2020/jobs/4450510002,4450510002,California,2019-Nov-15
21,Organizing,California Field Organizer,https://boards.greenhouse.io/bernie2020/jobs/4273091002,4273091002,California,2019-Nov-15
22,Organizing,California Regional Field Director,https://boards.greenhouse.io/bernie2020/jobs/4273098002,4273098002,California,2019-Nov-15
23,Organizing,Call Team National Organizer,https://boards.greenhouse.io/bernie2020/jobs/4489856002,4489856002,Remote,2019-Nov-15
24,Organizing,Events Program Organizer ,https://boards.greenhouse.io/bernie2020/jobs/4284535002,4284535002,Remote,2019-Nov-15
